Query,Persona,Intent,Complexity,Entities,Route,Notes
clubs for University of Maryland,college_student,attribute_lookup,short_circuit,,,single attribute
does Georgia Tech have film,advisor,attribute_lookup,short_circuit,,,single attribute
UCLA non-competitive culture,advisor,campus_life_fit,llm_needed,,,subjective fit
Penn State scholarships,college_student,cost_financial_aid,medium,,,cost / aid
Georgia Tech admissions profile average sat and gpa,counselor_teacher,b2b_partnership,medium,,,B2B; counselor framing
what schools should i apply to for philosophy near Chicago under 30k,advisor,recommendation,complex,,,needs recommendations
what schools should i apply to for film on the East Coast full ride options,high_school_student,recommendation,complex,,,needs recommendations
medium-sized pre-law colleges in California full ride options target schools,counselor_teacher,multi_constraint,complex,,,multi-constraint
Georgia Tech housing guarantee,parent,comparison,complex,,,compare entities; parent framing
rankings for Northeastern,high_school_student,attribute_lookup,short_circuit,,,single attribute
recommend small colleges in California for architecture not too competitive,counselor_teacher,recommendation,medium,,,needs recommendations
what schools should i apply to for biology in Texas under 30k,college_student,recommendation,llm_needed,,,needs recommendations
Northeastern tuition vs Virginia Tech tuition,advisor,comparison,complex,,,compare entities
does Northeastern have data science,advisor,attribute_lookup,short_circuit,,,single attribute
colleges where people dont care about football,high_school_student,campus_life_fit,llm_needed,,,subjective fit
University of Maryland but cheaper,advisor,rewrite_needed,complex,,,needs rewrite
Virginia Tech,advisor,exact_lookup,short_circuit,,,simple entity
harvard but less stressful,counselor_teacher,rewrite_needed,complex,,,needs rewrite; counselor framing
Cornell,counselor_teacher,exact_lookup,short_circuit,,,simple entity
recommend medium-sized colleges in the Midwest for finance safety schools,high_school_student,recommendation,complex,,,needs recommendations
schools like Purdue but cheaper,advisor,recommendation,complex,,,needs recommendations
affordable mechanical engineering schools near Chicago with good job placement,college_student,multi_constraint,complex,,,multi-constraint
does Stanford have business,parent,attribute_lookup,short_circuit,,,single attribute
how do we update our school profile data,parent,b2b_partnership,medium,,,B2B; parent framing
schools in the Midwest with low student-to-faculty ratio,advisor,filtered_search,medium,,,1–2 filters
Rice University admissions profile average sat and gpa,counselor_teacher,exact_lookup,short_circuit,,,simple entity; counselor framing
Penn State financial aid for out of state,counselor_teacher,cost_financial_aid,medium,,,cost / aid
MIT tuition vs Stanford tuition,high_school_student,comparison,short_circuit,,,compare entities
schools with high internship placement rates,advisor,career_outcomes,medium,,,outcomes; advisor framing
best computer science schools near a major tech hub,advisor,filtered_search,medium,,,1–2 filters; advisor framing
UC Berkeley vibe,parent,campus_life_fit,llm_needed,,,subjective fit
best colleges for mechanical engineering job outcomes,high_school_student,career_outcomes,llm_needed,,,outcomes
create reach target safety list for philosophy near a major tech hub under 20k,advisor,career_outcomes,medium,,,outcomes; advisor framing
schools like Georgia Tech but cheaper,parent,recommendation,complex,,,needs recommendations; parent framing
universities with strong computer science,parent,filtered_search,medium,,,1–2 filters
create reach target safety list for neuroscience in warm states under 30k,advisor,b2b_partnership,medium,,,B2B; advisor framing
recommend medium-sized colleges on the East Coast for film reach schools,advisor,recommendation,complex,,,needs recommendations
recommend small colleges in the Midwest for chemistry not too competitive,advisor,recommendation,complex,,,needs recommendations
UC San Diego,parent,exact_lookup,llm_needed,,,simple entity
do i need sat for Rice University,high_school_student,admissions_process,complex,,,how-to / admissions
Penn State job placement for engineering,advisor,career_outcomes,medium,,,outcomes
what schools should i apply to for neuroscience in warm states full ride options,parent,recommendation,complex,,,needs recommendations
Wisconsin,college_student,exact_lookup,short_circuit,,,simple entity
University of Michigan vs USC for nursing,high_school_student,comparison,complex,,,compare entities
job placement for UC San Diego,advisor,attribute_lookup,short_circuit,,,single attribute
brown,parent,exact_lookup,complex,,,simple entity
what schools should i apply to for political science near a major tech hub under 40k,high_school_student,recommendation,complex,,,needs recommendations
what schools should i apply to for electrical engineering near a major tech hub under 20k,college_student,recommendation,complex,,,needs recommendations
medium-sized computer science colleges near the beach full ride options reach schools,parent,multi_constraint,complex,,,multi-constraint
recommend large colleges in Texas for aerospace engineering safety schools,advisor,recommendation,complex,,,needs recommendations
affordable finance schools in the Midwest with good job placement,high_school_student,multi_constraint,complex,,,multi-constraint
affordable chemistry schools in California with good job placement,high_school_student,multi_constraint,complex,,,multi-constraint
USC job placement for public health,high_school_student,career_outcomes,medium,,,outcomes
Harvard job placement for computer science,parent,career_outcomes,medium,,,outcomes
how do we update our school profile data,college_student,b2b_partnership,short_circuit,,,B2B
University of Maryland vs University of Washington for nursing,counselor_teacher,comparison,complex,,,compare entities
best colleges for nursing job outcomes,counselor_teacher,career_outcomes,medium,,,outcomes
schools like University of Washington but cheaper,counselor_teacher,recommendation,complex,,,needs recommendations
cheapest nursing schools near Chicago,parent,cost_financial_aid,medium,,,cost / aid; parent framing
NYU job placement for neuroscience,counselor_teacher,career_outcomes,medium,,,outcomes
Brown financial aid for out of state,counselor_teacher,cost_financial_aid,medium,,,cost / aid
best architecture schools on the East Coast,high_school_student,filtered_search,medium,,,1–2 filters
University of Florida normal people,high_school_student,campus_life_fit,llm_needed,,,subjective fit
create reach target safety list for chemistry near the beach under 40k,advisor,filtered_search,medium,,,1–2 filters; advisor framing
what schools should i apply to for economics on the East Coast under 30k,high_school_student,recommendation,complex,,,needs recommendations
schools in warm states with low student-to-faculty ratio,high_school_student,filtered_search,medium,,,1–2 filters
study abroad for Vanderbilt,high_school_student,attribute_lookup,short_circuit,,,single attribute
UC Berkeley job placement for finance,high_school_student,career_outcomes,medium,,,outcomes
Cornell tuition vs University of Wisconsin tuition,parent,comparison,complex,,,compare entities; parent framing
schools with high internship placement rates,counselor_teacher,career_outcomes,medium,,,outcomes; counselor framing
recommend small colleges in Texas for architecture safety schools,counselor_teacher,recommendation,complex,,,needs recommendations
average ACT for Georgia Tech,college_student,attribute_lookup,short_circuit,,,single attribute
schools good for non-competitive culture,high_school_student,campus_life_fit,complex,,,subjective fit
campus safety for Princeton,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
UC San Diego,counselor_teacher,exact_lookup,short_circuit,,,simple entity
how do i apply to Georgia Tech,high_school_student,admissions_process,medium,,,how-to / admissions
